unique_id,tag
54f17b40-980f-4554-9863-218913d2a2de,붕어빵
54f17b40-980f-4554-9863-218913d2a2de,빵
54f17b40-980f-4554-9863-218913d2a2de,시장
1675cd3d-0ce1-44d0-9801-f6875f79739b,붕어빵
1675cd3d-0ce1-44d0-9801-f6875f79739b,빵
1675cd3d-0ce1-44d0-9801-f6875f79739b,시장
6d4e5251-58c5-4896-a92c-598a64434bc7,노점
6d4e5251-58c5-4896-a92c-598a64434bc7,붕어빵
6d4e5251-58c5-4896-a92c-598a64434bc7,빵
6d4e5251-58c5-4896-a92c-598a64434bc7,뻥튀기
6d4e5251-58c5-4896-a92c-598a64434bc7,시장
6fcdcf29-5090-4847-8923-826a51dca88a,포장
6fcdcf29-5090-4847-8923-826a51dca88a,빵
6fcdcf29-5090-4847-8923-826a51dca88a,의류
6fcdcf29-5090-4847-8923-826a51dca88a,시장
5c66309c-7cef-4951-a057-01a80e3cf308,노점
5c66309c-7cef-4951-a057-01a80e3cf308,주방도구
5c66309c-7cef-4951-a057-01a80e3cf308,의류
5c66309c-7cef-4951-a057-01a80e3cf308,좌석있음
5c66309c-7cef-4951-a057-01a80e3cf308,시장
e85e42a4-2b12-4a3e-bb49-c094e2e6543a,포장
e85e42a4-2b12-4a3e-bb49-c094e2e6543a,의류
e85e42a4-2b12-4a3e-bb49-c094e2e6543a,노점
e85e42a4-2b12-4a3e-bb49-c094e2e6543a,시장
61867ded-4746-4611-bac9-22f4190eff68,의류
61867ded-4746-4611-bac9-22f4190eff68,모자
61867ded-4746-4611-bac9-22f4190eff68,노점
61867ded-4746-4611-bac9-22f4190eff68,시장
6db24257-274b-4623-a595-b65fee53c486,신발
6db24257-274b-4623-a595-b65fee53c486,의류
6db24257-274b-4623-a595-b65fee53c486,노점
6db24257-274b-4623-a595-b65fee53c486,시장
bc6103a6-efac-4160-a95f-713489f58771,노점
bc6103a6-efac-4160-a95f-713489f58771,신발
bc6103a6-efac-4160-a95f-713489f58771,주방도구
bc6103a6-efac-4160-a95f-713489f58771,빵
bc6103a6-efac-4160-a95f-713489f58771,의류
bc6103a6-efac-4160-a95f-713489f58771,시장
44f161c0-b592-42ac-a188-90a1e759604d,음료
44f161c0-b592-42ac-a188-90a1e759604d,노점
44f161c0-b592-42ac-a188-90a1e759604d,주방도구
44f161c0-b592-42ac-a188-90a1e759604d,의류
44f161c0-b592-42ac-a188-90a1e759604d,좌석있음
44f161c0-b592-42ac-a188-90a1e759604d,시장
1c9e446c-9e8f-494d-9b0b-27020c36f3d4,좌석있음
1c9e446c-9e8f-494d-9b0b-27020c36f3d4,주방도구
1c9e446c-9e8f-494d-9b0b-27020c36f3d4,음료
1c9e446c-9e8f-494d-9b0b-27020c36f3d4,노점
9df25126-fa6b-468f-bef3-3543f6bbb2eb,좌석있음
9df25126-fa6b-468f-bef3-3543f6bbb2eb,주방도구
9df25126-fa6b-468f-bef3-3543f6bbb2eb,노점
2a8a74f4-6379-4f54-9f1f-c90468a56512,분식
2a8a74f4-6379-4f54-9f1f-c90468a56512,주방도구
2a8a74f4-6379-4f54-9f1f-c90468a56512,좌석있음
2a8a74f4-6379-4f54-9f1f-c90468a56512,노점
d5aee928-9377-416c-81e4-f0cd2ade37ca,노점
d5aee928-9377-416c-81e4-f0cd2ade37ca,분식
d5aee928-9377-416c-81e4-f0cd2ade37ca,주방도구
d5aee928-9377-416c-81e4-f0cd2ade37ca,빵
d5aee928-9377-416c-81e4-f0cd2ade37ca,좌석있음
d5aee928-9377-416c-81e4-f0cd2ade37ca,시장
31eab54a-f43a-4217-a784-3ec97d200774,노점
31eab54a-f43a-4217-a784-3ec97d200774,분식
31eab54a-f43a-4217-a784-3ec97d200774,주방도구
31eab54a-f43a-4217-a784-3ec97d200774,젓갈
31eab54a-f43a-4217-a784-3ec97d200774,좌석있음
31eab54a-f43a-4217-a784-3ec97d200774,시장
3a1a9790-1055-472f-a069-a412572abc43,칼국수
3a1a9790-1055-472f-a069-a412572abc43,분식
3a1a9790-1055-472f-a069-a412572abc43,주방도구
3a1a9790-1055-472f-a069-a412572abc43,의류
3a1a9790-1055-472f-a069-a412572abc43,장신구
3a1a9790-1055-472f-a069-a412572abc43,좌석있음
3a1a9790-1055-472f-a069-a412572abc43,시장
b27f9f5b-182e-4abf-9555-41e0e023d192,주방도구
b27f9f5b-182e-4abf-9555-41e0e023d192,장신구
b27f9f5b-182e-4abf-9555-41e0e023d192,장난감
b27f9f5b-182e-4abf-9555-41e0e023d192,좌석있음
b27f9f5b-182e-4abf-9555-41e0e023d192,시장
fcf07140-dea7-4c6d-a1ba-3d2cc5ce7c3b,주방도구
fcf07140-dea7-4c6d-a1ba-3d2cc5ce7c3b,모자
fcf07140-dea7-4c6d-a1ba-3d2cc5ce7c3b,시장
d276dd72-a574-48e2-9456-a07529cf5044,주방도구
d276dd72-a574-48e2-9456-a07529cf5044,해산물
d276dd72-a574-48e2-9456-a07529cf5044,시장
18cdfd90-878b-4c29-b2b4-48448dc0b027,해산물
18cdfd90-878b-4c29-b2b4-48448dc0b027,시장
49924eca-4046-47f8-82eb-a7b04eb807ef,해산물
49924eca-4046-47f8-82eb-a7b04eb807ef,생선
49924eca-4046-47f8-82eb-a7b04eb807ef,시장
db928716-7bf6-46dc-ab6f-5926f68a8e12,해산물
db928716-7bf6-46dc-ab6f-5926f68a8e12,생선
db928716-7bf6-46dc-ab6f-5926f68a8e12,시장
bf51890b-5711-4156-bc63-b214f9688371,해산물
bf51890b-5711-4156-bc63-b214f9688371,생선
bf51890b-5711-4156-bc63-b214f9688371,시장
f02f6f48-765d-4cc3-aaae-60ddf103de98,해산물
f02f6f48-765d-4cc3-aaae-60ddf103de98,생선
f02f6f48-765d-4cc3-aaae-60ddf103de98,시장
d0b3ac6b-7f38-4058-91cc-5e1c78a63583,건어물
d0b3ac6b-7f38-4058-91cc-5e1c78a63583,생선
d0b3ac6b-7f38-4058-91cc-5e1c78a63583,해산물
d0b3ac6b-7f38-4058-91cc-5e1c78a63583,반찬
d0b3ac6b-7f38-4058-91cc-5e1c78a63583,시장
bf0c3e5e-8b77-4cbd-a093-2d7da8acf158,건어물
bf0c3e5e-8b77-4cbd-a093-2d7da8acf158,포장
bf0c3e5e-8b77-4cbd-a093-2d7da8acf158,해산물
bf0c3e5e-8b77-4cbd-a093-2d7da8acf158,반찬
bf0c3e5e-8b77-4cbd-a093-2d7da8acf158,시장
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,견과류
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,한약재
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,건어물
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,포장
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,반찬
ed6ec040-ae86-46a8-81d7-b4a7cce1cc13,시장
51f7d746-1797-466c-bb4d-86aa089a8b23,포장
51f7d746-1797-466c-bb4d-86aa089a8b23,한약재
51f7d746-1797-466c-bb4d-86aa089a8b23,건어물
51f7d746-1797-466c-bb4d-86aa089a8b23,시장
07695a62-5d53-47f1-bd27-e6073a41be3a,한약재
07695a62-5d53-47f1-bd27-e6073a41be3a,건어물
07695a62-5d53-47f1-bd27-e6073a41be3a,시장
1f07ce3f-9b65-4b7f-84ee-ea2d4d62e86f,한약재
1f07ce3f-9b65-4b7f-84ee-ea2d4d62e86f,건어물
1f07ce3f-9b65-4b7f-84ee-ea2d4d62e86f,시장
b7527b2f-1726-4075-936a-f63737f74357,건어물
b7527b2f-1726-4075-936a-f63737f74357,시장
141a4bbd-7c24-4bcb-bcad-be7da8d2aa77,건어물
141a4bbd-7c24-4bcb-bcad-be7da8d2aa77,시장
16862169-de00-4c4f-9952-8f1787bc92fb,건강식품
16862169-de00-4c4f-9952-8f1787bc92fb,건어물
16862169-de00-4c4f-9952-8f1787bc92fb,시장
d49e4700-f357-47b7-8f03-a719d5083b62,견과류
d49e4700-f357-47b7-8f03-a719d5083b62,한약재
d49e4700-f357-47b7-8f03-a719d5083b62,건어물
d49e4700-f357-47b7-8f03-a719d5083b62,건강식품
